City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
378,Ferkessedougou,CI,88.12,overcast clouds,9.6,-5.2,Hotel Chateau
379,Koumac,NC,76.73,overcast clouds,-20.5667,164.2833,Le Monitel
384,Trairi,BR,77.92,overcast clouds,-3.2778,-39.2689,janelas do mar
388,Pelotas,BR,84.22,few clouds,-31.7719,-52.3425,Hotéis Jacques Georges Tower
392,Saint-Pierre,RE,78.48,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
393,Auki,SB,76.89,scattered clouds,-8.7676,160.7034,Auki Motel
396,Matara,LK,77.0,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
402,Mabua,PH,76.19,heavy intensity rain,9.8089,125.4422,Almont Beach Resort
409,Winslow,US,80.78,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
411,Upata,VE,87.89,overcast clouds,8.0086,-62.3989,Posada Villa Nela
413,Sakakah,SA,76.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
414,Luz,BR,83.97,overcast clouds,-19.8014,-45.6856,Hotel Turista
418,Biak,ID,76.03,overcast clouds,-0.9131,122.8766,Penginapan Kim
419,Bossangoa,CF,81.45,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
423,Bannu,PK,83.08,clear sky,32.9854,70.6027,Oxford Hostel
425,Eyl,SO,80.89,scattered clouds,7.9803,49.8164,Amiin Hotel
427,Jizan,SA,85.14,clear sky,17.3333,42.6667,شهدان. ابوالحجر
429,Wichita Falls,US,82.26,clear sky,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
431,Oeiras Do Para,BR,81.3,overcast clouds,-2.0031,-49.8544,Araticu Soft Hotel
432,Dickinson,US,83.98,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
442,Vila Velha,BR,89.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
448,King City,US,76.91,clear sky,36.2127,-121.126,Days Inn by Wyndham King City
449,Luis Correia,BR,86.0,broken clouds,-2.8792,-41.6669,Hotel Amarração
454,Mecca,SA,82.56,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
455,Funadhoo,MV,84.6,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
457,Iquitos,PE,84.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
458,Tacuarembo,UY,80.8,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
462,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
463,Venice,US,75.97,haze,27.0998,-82.4543,A Beach Retreat On Casey Key
466,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
468,Mangla,PK,83.32,clear sky,31.8931,72.3817,Rana Tariq Aziz House
469,Buala,SB,79.18,light rain,-8.145,159.5921,Maringe Lagoon Lodge
471,Ranong,TH,77.67,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
473,Owo,NG,78.15,light rain,7.1962,5.5868,The Chancery Hotel and Resort limited
475,Pasni,PK,82.33,overcast clouds,25.2631,63.471,Kashmiri Hotal
477,Manggar,ID,77.97,overcast clouds,-2.8833,108.2667,Guest Hotel
478,Labuhan,ID,77.14,light rain,-6.8844,112.2051,DoubleFAG
480,New Iberia,US,75.96,clear sky,30.0035,-91.8187,La Quinta Inn & Suites by Wyndham New Iberia
482,Almeirim,BR,84.76,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
484,Kupang,ID,75.97,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
487,Grand Gaube,MU,79.2,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
491,Bac Lieu,VN,79.61,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
493,Gambela,ET,88.16,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
494,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
500,Muli,MV,84.87,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
504,Qeshm,IR,78.69,overcast clouds,26.9581,56.2719,Qeshm Kavan Hotel
506,Maham,IN,85.77,clear sky,28.9833,76.3,Shri Jangid Brahman Dharamshals
508,Bubaque,GW,76.8,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
510,Puerto Padre,CU,84.33,broken clouds,21.195,-76.6028,Casa Villa Velázquez
511,Guanica,PR,85.12,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
513,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
517,Tambun,ID,84.47,scattered clouds,-6.2641,107.0712,Metland Hotel Bekasi
518,Conceicao Do Mato Dentro,BR,79.86,moderate rain,-19.0372,-43.425,Hotel Vista Inn
523,Teknaf,BD,76.46,clear sky,20.8624,92.3058,Forestry Guesthouse
525,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
526,Nanuque,BR,89.64,few clouds,-17.8392,-40.3539,Hotel e Churrascaria Boi na Brasa
532,Kuala Terengganu,MY,75.15,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
537,Touros,BR,84.11,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
538,Kailua,US,78.78,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
539,Monrovia,LR,85.77,light rain,6.3005,-10.7969,Sunset Inn
542,Harper,LR,82.18,overcast clouds,4.375,-7.7169,Screensaver
547,Houston,US,85.05,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
552,Tual,ID,83.93,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
553,Kutum,SD,82.08,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
559,Sorong,ID,79.47,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
562,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Pirineos
570,Cairns,AU,78.75,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
576,Impfondo,CG,76.46,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
584,Praya,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
588,Yarada,IN,84.52,scattered clouds,17.65,83.2667,Yarada Jungle Beach Resorts
589,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
592,Point Pedro,LK,81.93,overcast clouds,9.8167,80.2333,Gtr homes
594,Banda Aceh,ID,79.39,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
596,Ambon,ID,80.74,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
597,Skeldon,GY,81.14,overcast clouds,5.8833,-57.1333,Classic International Hotel & Suites
599,Phuket,TH,79.02,moderate rain,8.0,98.25,The Surin
