City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Kudahuvadhoo,MV,2022-04-09 18:36:31,2.6708,72.8944,84.51,65,99,10.09,overcast clouds
114,Vostok,RU,2022-04-09 18:36:31,46.4856,135.8833,23.58,96,71,4.59,broken clouds
115,Vila Franca Do Campo,PT,2022-04-09 18:36:32,37.7167,-25.4333,54.01,81,100,23.24,overcast clouds
116,Ushtobe,KZ,2022-04-09 18:36:32,45.2514,77.9838,53.4,42,100,19.19,overcast clouds
117,Roquetas De Mar,ES,2022-04-09 18:36:33,36.7642,-2.6148,66.61,67,99,1.03,overcast clouds
118,Khandyga,RU,2022-04-09 18:36:33,62.6667,135.6,21.99,97,100,3.31,light snow
119,Bontang,ID,2022-04-09 18:36:34,0.1333,117.5,77.02,90,100,7.65,overcast clouds
120,Riyadh,SA,2022-04-09 18:34:50,24.6877,46.7219,86.14,9,46,9.1,scattered clouds
121,San Rafael,AR,2022-04-09 18:33:27,-34.6177,-68.3301,84.18,31,0,12.41,clear sky
122,Hasaki,JP,2022-04-09 18:36:35,35.7333,140.8333,50.4,86,0,7.58,clear sky
123,Butaritari,KI,2022-04-09 18:36:35,3.0707,172.7902,80.1,80,100,13.51,moderate rain
124,Nishihara,JP,2022-04-09 18:36:36,26.1842,127.7558,71.65,89,100,9.22,overcast clouds
125,Lebu,CL,2022-04-09 18:36:37,-37.6167,-73.65,54.64,84,100,5.1,overcast clouds
126,Solnechnyy,RU,2022-04-09 18:36:37,50.7214,136.6319,19.98,98,75,4.36,broken clouds
127,Marystown,CA,2022-04-09 18:36:37,47.1666,-55.1483,35.85,100,100,8.99,overcast clouds
128,Praia,CV,2022-04-09 18:36:38,14.9215,-23.5087,81.14,54,0,18.41,clear sky
129,Atuona,PF,2022-04-09 18:36:38,-9.8,-139.0333,79.54,78,18,22.41,few clouds
130,Cidreira,BR,2022-04-09 18:36:39,-30.1811,-50.2056,71.53,83,88,7.99,overcast clouds
131,Clyde River,CA,2022-04-09 18:36:39,70.4692,-68.5914,3.43,85,75,5.75,light snow
132,Christchurch,NZ,2022-04-09 18:36:40,-43.5333,172.6333,51.01,94,100,8.05,fog
133,Aksha,RU,2022-04-09 18:36:40,50.2814,113.2867,33.94,75,100,18.81,overcast clouds
134,Jumla,NP,2022-04-09 18:36:42,29.2747,82.1838,47.71,61,1,4.16,clear sky
135,Srednekolymsk,RU,2022-04-09 18:36:43,67.45,153.6833,-8.82,99,100,4.27,overcast clouds
136,Songea,TZ,2022-04-09 18:36:43,-10.6833,35.65,62.8,97,10,2.51,light rain
137,Sao Filipe,CV,2022-04-09 18:37:46,14.8961,-24.4956,75.72,66,59,14.81,broken clouds
138,Olinda,BR,2022-04-09 18:37:47,-8.0089,-34.8553,83.93,79,40,13.8,scattered clouds
139,Havre-Saint-Pierre,CA,2022-04-09 18:37:47,50.2334,-63.5986,37.76,87,100,5.75,overcast clouds
140,Guarapari,BR,2022-04-09 18:37:47,-20.6667,-40.4975,81.03,75,100,7.14,overcast clouds
141,Chuy,UY,2022-04-09 18:37:48,-33.6971,-53.4616,75.43,58,43,10.07,scattered clouds
142,Miri,MY,2022-04-09 18:37:49,4.4148,114.0089,75.34,94,40,4.61,scattered clouds
143,Beirut,LB,2022-04-09 18:37:49,33.8889,35.4944,65.37,82,75,5.75,broken clouds
144,Longyearbyen,SJ,2022-04-09 18:37:49,78.2186,15.6401,22.84,63,20,10.36,few clouds
145,Meulaboh,ID,2022-04-09 18:37:50,4.1363,96.1285,78.22,85,97,2.1,light rain
146,Shush,IR,2022-04-09 18:37:50,32.1942,48.2436,77.13,22,0,17.94,clear sky
147,Carnarvon,AU,2022-04-09 18:37:51,-24.8667,113.6333,69.87,68,2,14.97,clear sky
148,Boa Vista,BR,2022-04-09 18:34:49,2.8197,-60.6733,89.58,51,40,4.61,scattered clouds
149,Terney,RU,2022-04-09 18:37:51,45.0503,136.6092,33.89,92,99,4.97,overcast clouds
150,Kamenka,RU,2022-04-09 18:37:52,51.3223,42.7678,47.52,87,100,2.86,overcast clouds
151,Qaanaaq,GL,2022-04-09 18:36:32,77.484,-69.3632,0.12,73,81,3.47,broken clouds
152,Arroio Grande,BR,2022-04-09 18:36:24,-32.2375,-53.0869,79.43,49,55,11.36,broken clouds
153,Bethel,US,2022-04-09 18:37:53,41.3712,-73.414,54.68,78,100,9.22,overcast clouds
154,Isangel,VU,2022-04-09 18:37:47,-19.55,169.2667,80.24,83,18,9.31,few clouds
155,Prescott,US,2022-04-09 18:37:53,34.54,-112.4685,76.89,10,0,13.8,clear sky
156,Broome,US,2022-04-09 18:37:54,42.2506,-75.833,48.2,74,75,18.41,light rain
157,Goba,ET,2022-04-09 18:37:54,7.0167,39.9833,53.42,80,96,2.75,light rain
158,Khandagayty,RU,2022-04-09 18:37:54,50.7333,92.05,27.57,51,15,13.2,few clouds
159,Jalapa,MX,2022-04-09 18:34:56,19.5333,-96.9167,71.73,34,3,7.99,clear sky
160,Ascension,US,2022-04-09 18:37:55,30.2169,-90.9001,73.02,28,0,8.05,clear sky
161,Knysna,ZA,2022-04-09 18:37:55,-34.0363,23.0471,61.11,87,1,10.94,clear sky
162,Port Hardy,CA,2022-04-09 18:37:28,50.6996,-127.4199,42.98,65,75,9.22,broken clouds
163,Buraydah,SA,2022-04-09 18:37:56,26.326,43.975,84.65,13,0,11.97,clear sky
164,Sao Joao Da Barra,BR,2022-04-09 18:37:57,-21.6403,-41.0511,89.69,80,71,13.96,broken clouds
165,Upernavik,GL,2022-04-09 18:37:52,72.7868,-56.1549,3.76,90,80,6.55,broken clouds
166,Pangnirtung,CA,2022-04-09 18:37:57,66.1451,-65.7125,12.2,79,100,9.22,light snow
167,Tazovskiy,RU,2022-04-09 18:37:58,67.4667,78.7,-10.8,100,98,7.54,overcast clouds
168,Luderitz,NA,2022-04-09 18:37:58,-26.6481,15.1594,64.0,64,0,4.59,clear sky
169,Havre,FR,2022-04-09 18:37:59,49.5833,0.3333,45.0,65,100,6.91,overcast clouds
170,Ilulissat,GL,2022-04-09 18:37:59,69.2167,-51.1,17.62,57,75,0.0,broken clouds
171,Laguna,US,2022-04-09 18:38:00,38.421,-121.4238,72.14,23,0,20.71,clear sky
172,Qaqortoq,GL,2022-04-09 18:38:00,60.7167,-46.0333,32.76,63,2,3.2,clear sky
173,Bansang,GM,2022-04-09 18:38:00,13.4333,-14.65,99.43,10,5,2.44,clear sky
174,Okhotsk,RU,2022-04-09 18:38:01,59.3833,143.3,12.27,98,69,1.9,broken clouds
175,Saldanha,ZA,2022-04-09 18:38:01,-33.0117,17.9442,69.85,54,0,12.37,clear sky
176,Tasiilaq,GL,2022-04-09 18:38:02,65.6145,-37.6368,30.36,86,89,1.52,overcast clouds
177,Meru,KE,2022-04-09 18:38:02,0.0463,37.6559,65.75,75,78,3.83,broken clouds
178,Nemuro,JP,2022-04-09 18:38:03,43.3236,145.575,39.15,86,4,8.25,clear sky
